# Subnetworks (Connected components)
		Subnetworks			Subnetworks mean length			Subnetworks length std-dev		
network	name	overall	conserved	variable	overall	conserved	variable	overall	conserved	variable
All		1547	8005	8016	5.18164188752	1.00137414116	1.0	146.290088144	0.0558673413633	0.0
path:map00340	Histidine metabolism	6	44	45	10.1666666667	1.02272727273	1.0	18.2612218162	0.149032693734	0.0
path:map01230	Biosynthesis of amino acids	6	121	123	25.8333333333	1.01652892562	1.0	52.8470013866	0.127497922484	0.0
path:map00770	Pantothenate and CoA biosynthesis	9	28	28	4.66666666667	1.03571428571	1.0	8.25967446224	0.18557687224	0.0
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	12	32	33	4.91666666667	1.03125	1.0	9.9871445146	0.173992636338	0.0
path:map00350	Tyrosine metabolism	10	75	76	9.9	1.02666666667	1.0	24.3698584321	0.161107279648	0.0
path:map00230	Purine metabolism	8	91	92	14.25	1.02197802198	1.0	31.6573451193	0.208501823747	0.0
path:map00240	Pyrimidine metabolism	14	65	66	6.64285714286	1.03076923077	1.0	16.7485911683	0.246153846154	0.0
path:map00040	Pentose and glucuronate interconversions	5	55	55	13.6	1.01818181818	1.0	23.2	0.133608531425	0.0
path:map00250	Alanine, aspartate and glutamate metabolism	9	24	24	5.33333333333	1.04166666667	1.0	9.42809041582	0.199826313471	0.0
path:map00650	Butanoate metabolism	6	44	44	9.33333333333	1.02272727273	1.0	16.8490026081	0.149032693734	0.0
path:map00053	Ascorbate and aldarate metabolism	11	46	47	5.90909090909	1.02173913043	1.0	13.3174836925	0.145830520272	0.0
