# Subnetworks (Connected components)
		Subnetworks				Subnetworks mean length				Subnetworks length std-dev			
network	name	overall	Rm1021	del	add	overall	Rm1021	del	add	overall	Rm1021	del	add
All		1531	7874	7888	7885	5.15284128021	1.00190500381	1.00012677485	1.00050729233	144.803852185	0.0647099632399	0.0112587199987	0.0225174372809
path:map00040	Pentose and glucuronate interconversions	5	54	55	55	13.6	1.01851851852	1.0	1.0	23.2	0.134816849801	0.0	0.0
path:map00053	Ascorbate and aldarate metabolism	11	47	47	47	5.90909090909	1.04255319149	1.0	1.0	13.3174836925	0.201847510224	0.0	0.0
path:map00770	Pantothenate and CoA biosynthesis	9	28	28	28	4.66666666667	1.07142857143	1.0	1.0	8.25967446224	0.257539376819	0.0	0.0
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	10	29	29	29	5.1	1.06896551724	1.0	1.0	9.64831591523	0.253395490633	0.0	0.0
path:map01230	Biosynthesis of amino acids	6	118	118	119	24.8333333333	1.02542372881	1.00847457627	1.0	50.6109891449	0.157408267975	0.0916665578508	0.0
path:map00350	Tyrosine metabolism	10	75	76	76	9.9	1.06666666667	1.0	1.0	24.3698584321	0.377123616633	0.0	0.0
path:map00230	Purine metabolism	8	90	92	92	14.25	1.02222222222	1.0	1.0	31.6573451193	0.209644025157	0.0	0.0
path:map00240	Pyrimidine metabolism	14	64	66	66	6.64285714286	1.03125	1.0	1.0	16.7485911683	0.248039185412	0.0	0.0
path:map00250	Alanine, aspartate and glutamate metabolism	9	25	24	24	5.33333333333	1.12	1.0	1.0	9.42809041582	0.324961536185	0.0	0.0
path:map00650	Butanoate metabolism	6	41	40	40	8.83333333333	1.07317073171	1.0	1.0	15.731249862	0.260416542732	0.0	0.0
path:map00340	Histidine metabolism	6	43	43	44	10.0	1.02325581395	1.02325581395	1.0	17.88854382	0.150714899963	0.150714899963	0.0
path:map00360	Phenylalanine metabolism	9	72	72	71	10.4444444444	1.0	1.0	1.01408450704	23.5330080767	0.0	0.0	0.117839440357
path:map00380	Tryptophan metabolism	18	82	82	82	6.0	1.0	1.0	1.0243902439	16.0242871223	0.0	0.0	0.154257446837
