#prot_id	EC_number
gi|334318048|ref|YP_004550667.1|	4.1.2.-
gi|334318047|ref|YP_004550666.1|	1.2.1.16
gi|334318047|ref|YP_004550666.1|	1.2.1.24
gi|334318047|ref|YP_004550666.1|	1.2.1.16
gi|334318047|ref|YP_004550666.1|	1.2.1.79
gi|334318084|ref|YP_004550703.1|	5.3.1.16
gi|334318050|ref|YP_004550669.1|	4.2.1.7
gi|334318051|ref|YP_004550670.1|	1.1.1.122
gi|334318051|ref|YP_004550670.1|	1.1.1.316
gi|334318037|ref|YP_004550656.1|	2.7.1.24
gi|334318038|ref|YP_004550657.1|	2.7.7.7
gi|334318036|ref|YP_004550655.1|	1.1.1.25
gi|334318036|ref|YP_004550655.1|	1.1.1.282
