# Metabolic network activity
network	name	category	Avg Activity Difference	Std Activity Difference
All		carbon	1.11755952381	0.76100177843
All		osmolytes_and_ph	1.44428418803	0.743923162198
path:map00340	Histidine metabolism	carbon	2.13888888889	0.482726311027
path:map01230	Biosynthesis of amino acids	carbon	1.70833333333	0.698460608927
path:map01230	Biosynthesis of amino acids	osmolytes_and_ph	2.0	0.0
path:map00770	Pantothenate and CoA biosynthesis	carbon	1.95833333333	0.291666666667
path:map00350	Tyrosine metabolism	carbon	1.07142857143	0.432849022921
path:map00230	Purine metabolism	carbon	1.0	1.01789543231
path:map00230	Purine metabolism	osmolytes_and_ph	0.597222222222	0.0
path:map00240	Pyrimidine metabolism	carbon	1.94444444444	0.335640165933
path:map00240	Pyrimidine metabolism	osmolytes_and_ph	0.597222222222	0.0
path:map00040	Pentose and glucuronate interconversions	carbon	1.00833333333	0.57668834256
path:map00250	Alanine, aspartate and glutamate metabolism	carbon	1.625	0.774820767805
path:map00650	Butanoate metabolism	carbon	1.39880952381	0.593389988123
path:map00053	Ascorbate and aldarate metabolism	carbon	1.0625	0.584448339129
