#plate_id	well_id	chemical	category	moa	co_id	replica	activity	min	max	height	plateau	slope	lag	area	source
PM01	A01	Negative Control	carbon	C-Source, negative control		2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DuctApe
PM01	A01	Negative Control	carbon	C-Source, negative control		3	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DuctApe
PM01	A02	L-Arabinose	carbon	C-Source, carbohydrate	C00259	2	9	0.1	344.06258755	201.95229739	410.588494443	7.96282759826	0.0	14411.5044418	DuctApe
PM01	A02	L-Arabinose	carbon	C-Source, carbohydrate	C00259	3	9	0.1	317.69451659	207.746230521	344.719237046	9.72668263605	3.5204269107	14839.1046134	DuctApe
PM01	A03	N-Acetyl-D-Glucosamine	carbon	C-Source, carbohydrate	C00140	2	9	0.1	339.392663557	197.487183683	445.299287923	7.64461995833	0.0	14091.7911229	DuctApe
PM01	A03	N-Acetyl-D-Glucosamine	carbon	C-Source, carbohydrate	C00140	3	9	0.0272622744786	340.566401295	207.769518514	369.091492168	9.73210063161	4.28422039614	14831.6827092	DuctApe
PM01	A04	D-Saccharic acid	carbon	C-Source, carboxylic acid	C00818	2	0	0.108617041935	9.2061246569	5.27872217759	8.56302468801	0.175289942951	2.18583799304	376.198351157	DuctApe
PM01	A04	D-Saccharic acid	carbon	C-Source, carboxylic acid	C00818	3	0	0.1	4.15213833813	1.06227686717	0.0	0.0	0.0	76.0465727283	DuctApe
PM01	A05	Succinic acid	carbon	C-Source, carboxylic acid	C00042	2	9	0.1	288.502146903	197.030767078	295.220263803	10.8916862951	6.64220998585	14079.0901429	DuctApe
PM01	A05	Succinic acid	carbon	C-Source, carboxylic acid	C00042	3	9	0.1	262.44553022	182.821058949	264.458699801	11.2789759577	6.92372872859	13064.6616705	DuctApe
PM01	A06	D-Galactose	carbon	C-Source, carbohydrate	C00124	2	9	0.1	339.053283001	207.974396872	389.141071292	9.07731375723	0.0	14846.9740937	DuctApe
PM01	A06	D-Galactose	carbon	C-Source, carbohydrate	C00124	3	9	0.1	323.40826242	206.022006227	343.804240185	10.4470580421	4.41728809707	14712.2688499	DuctApe
PM01	A07	L-Aspartic acid	carbon	C-Source, amino acid	C00049	2	8	0.1	265.989348154	132.297318261	258.425571413	256.386866815	12.0	9428.88319013	DuctApe
PM01	A08	L-Proline	carbon	C-Source, amino acid	C00148	2	6	0.1	284.554372987	133.902526309	323.209394283	5.88707272948	9.13406141583	9534.23650436	DuctApe
PM01	A08	L-Proline	carbon	C-Source, amino acid	C00148	3	6	0.1	233.790034846	113.978581987	254.062839243	5.49789499153	11.2001911735	8118.74914001	DuctApe
PM01	A09	D-Alanine	carbon	C-Source, amino acid	C00133	2	0	0.1	0.1	0.1	0.0	0.0	0.0	7.125	DuctApe
PM01	A09	D-Alanine	carbon	C-Source, amino acid	C00133	3	0	0.1	0.1	0.1	0.0	0.0	0.0	7.125	DuctApe
PM01	A10	D-Trehalose	carbon	C-Source, carbohydrate	C01083	2	9	0.1	286.842287682	182.808402228	343.041242018	8.0277031472	0.0	13055.7934718	DuctApe
PM01	A10	D-Trehalose	carbon	C-Source, carbohydrate	C01083	3	9	0.1	280.66895365	186.346692675	301.418366647	9.7055202266	4.37699502725	13311.6735149	DuctApe
PM01	A11	D-Mannose	carbon	C-Source, carbohydrate	C00159	2	8	0.1	312.945573507	174.500593743	312.945573507	306.27005027	8.25	12446.6506594	DuctApe
