# Metabolic network activity
			Mean Activity			Activity std-dev		
network	name	category	Rm1021	del	add	Rm1021	del	add
All		carbon	4.02083333333	3.88392857143	3.97321428571	3.2928060867	3.27586921139	3.27099852263
All		osmolytes_and_ph	3.34679487179	3.3516025641	3.3516025641	1.87679839242	1.87979730908	1.87979730908
path:map00040	Pentose and glucuronate interconversions	carbon	3.35	2.95	2.95	2.89006920332	2.54411084664	2.54411084664
path:map00053	Ascorbate and aldarate metabolism	carbon	2.375	1.875	1.875	2.70127284812	1.98037243972	1.98037243972
path:map00770	Pantothenate and CoA biosynthesis	carbon	5.25	5.25	5.25	2.25	2.25	2.25
path:map01230	Biosynthesis of amino acids	carbon	3.66666666667	3.04166666667	3.66666666667	2.96741563579	2.88283955309	2.96741563579
path:map01230	Biosynthesis of amino acids	osmolytes_and_ph	1.5	1.5	1.5	0.0	0.0	0.0
path:map00350	Tyrosine metabolism	carbon	3.14285714286	3.14285714286	3.14285714286	3.35638289271	3.35638289271	3.35638289271
path:map00230	Purine metabolism	carbon	2.9	2.9	2.9	3.16859590355	3.16859590355	3.16859590355
path:map00230	Purine metabolism	osmolytes_and_ph	1.16666666667	1.16666666667	1.16666666667	0.0	0.0	0.0
path:map00240	Pyrimidine metabolism	carbon	5.0	5.0	5.0	1.87082869339	1.87082869339	1.87082869339
path:map00240	Pyrimidine metabolism	osmolytes_and_ph	1.16666666667	1.16666666667	1.16666666667	0.0	0.0	0.0
path:map00250	Alanine, aspartate and glutamate metabolism	carbon	4.95	4.95	4.95	3.06145390297	3.06145390297	3.06145390297
path:map00650	Butanoate metabolism	carbon	4.89285714286	4.89285714286	4.89285714286	3.19558049404	3.19558049404	3.19558049404
path:map00340	Histidine metabolism	carbon	5.5	5.5	5.5	3.18852107828	3.18852107828	3.18852107828
path:map00360	Phenylalanine metabolism	carbon	3.41666666667	3.41666666667	3.41666666667	3.57557299215	3.57557299215	3.57557299215
