standard_name,scientific_name
Taiga Bean-Goose,Anser fabalis
Pink-footed Goose,Anser brachyrhynchus
Greater White-fronted Goose,Anser albifrons
Graylag Goose,Anser anser
Graylag Goose (Domestic type),Anser anser
Brant,Branta bernicla
Brant (Dark-bellied),Branta bernicla bernicla
Barnacle Goose,Branta leucopsis
Canada Goose,Branta canadensis
Mute Swan,Cygnus olor
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Egyptian Goose,Alopochen aegyptiaca
Ruddy Shelduck,Tadorna ferruginea
Common Shelduck,Tadorna tadorna
Muscovy Duck,Cairina moschata
Muscovy Duck (Domestic type),Cairina moschata
Wood Duck,Aix sponsa
Mandarin Duck,Aix galericulata
Duck sp.,Anas sp.
Gadwall,Anas strepera
Falcated Duck,Anas falcata
Eurasian Wigeon,Anas penelope
American Wigeon,Anas americana
Mallard,Anas platyrhynchos
Mallard (Domestic),Anas platyrhynchos
Blue-winged Teal,Anas discors
Northern Shoveler,Anas clypeata
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Green-winged Teal,Anas crecca
Green-winged Teal (Eurasian),Anas crecca crecca/nimia
Green-winged Teal (American),Anas crecca carolinensis
Marbled Teal,Marmaronetta angustirostris
Red-crested Pochard,Netta rufina
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Ferruginous Duck,Aythya nyroca
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Common Eider,Somateria mollissima
Surf Scoter,Melanitta perspicillata
White-winged Scoter,Melanitta fusca
Common Scoter,Melanitta nigra
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Ruddy Duck,Oxyura jamaicensis
White-headed Duck,Oxyura leucocephala
Red-legged Partridge,Alectoris rufa
Gray Partridge,Perdix perdix
Common Quail,Coturnix coturnix
Ring-necked Pheasant,Phasianus colchicus
Loon sp.,Gavia sp.
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Common Loon,Gavia immer
Little Grebe,Tachybaptus ruficollis
