standard_name,scientific_name
Taiga Bean-Goose,Anser fabalis
Pink-footed Goose,Anser brachyrhynchus
Greater White-fronted Goose,Anser albifrons
Graylag Goose,Anser anser
Brant,Branta bernicla
Ruddy Shelduck,Tadorna ferruginea
Common Shelduck,Tadorna tadorna
Muscovy Duck,Cairina moschata
Gadwall,Anas strepera
Eurasian Wigeon,Anas penelope
American Wigeon,Anas americana
Mallard,Anas platyrhynchos
Blue-winged Teal,Anas discors
Northern Shoveler,Anas clypeata
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Green-winged Teal,Anas crecca
Marbled Teal,Marmaronetta angustirostris
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Surf Scoter,Melanitta perspicillata
Common Scoter,Melanitta nigra
Long-tailed Duck,Clangula hyemalis
Common Goldeneye,Bucephala clangula
Red-breasted Merganser,Mergus serrator
Helmeted Guineafowl,Numida meleagris
Red-legged Partridge,Alectoris rufa
Common Quail,Coturnix coturnix
Ring-necked Pheasant,Phasianus colchicus
Common Loon,Gavia immer
Little Grebe,Tachybaptus ruficollis
Horned Grebe,Podiceps auritus
Eared Grebe,Podiceps nigricollis
Zino's Petrel,Pterodroma madeira
Fea's Petrel,Pterodroma feae
Bulwer's Petrel,Bulweria bulwerii
Cory's Shearwater,Calonectris diomedea
Cape Verde Shearwater,Calonectris edwardsii
Great Shearwater,Puffinus gravis
Sooty Shearwater,Puffinus griseus
Manx Shearwater,Puffinus puffinus
Balearic Shearwater,Puffinus mauretanicus
Barolo Shearwater,Puffinus baroli
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
European Storm-Petrel,Hydrobates pelagicus
Leach's Storm-Petrel,Oceanodroma leucorhoa
Swinhoe's Storm-Petrel,Oceanodroma monorhis
Band-rumped Storm-Petrel,Oceanodroma castro
Red-billed Tropicbird,Phaethon aethereus
White Stork,Ciconia ciconia
Brown Booby,Sula leucogaster
Northern Gannet,Morus bassanus
Great Cormorant,Phalacrocorax carbo
European Shag,Phalacrocorax aristotelis
Great Bittern,Botaurus stellaris
