standard_name,scientific_name
Fulvous Whistling-Duck,Dendrocygna bicolor
Taiga Bean-Goose,Anser fabalis
Pink-footed Goose,Anser brachyrhynchus
Greater White-fronted Goose,Anser albifrons
Graylag Goose,Anser anser
Snow Goose,Chen caerulescens
Brant,Branta bernicla
Barnacle Goose,Branta leucopsis
Canada Goose,Branta canadensis
Mute Swan,Cygnus olor
Whooper Swan,Cygnus cygnus
Ruddy Shelduck,Tadorna ferruginea
Common Shelduck,Tadorna tadorna
Muscovy Duck,Cairina moschata
Wood Duck,Aix sponsa
Gadwall,Anas strepera
Eurasian Wigeon,Anas penelope
American Wigeon,Anas americana
American Black Duck,Anas rubripes
Mallard,Anas platyrhynchos
Blue-winged Teal,Anas discors
Northern Shoveler,Anas clypeata
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Green-winged Teal,Anas crecca
Common Pochard,Aythya ferina
Ring-necked Duck,Aythya collaris
Ferruginous Duck,Aythya nyroca
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
King Eider,Somateria spectabilis
Common Eider,Somateria mollissima
Surf Scoter,Melanitta perspicillata
Common Scoter,Melanitta nigra
Long-tailed Duck,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Ruddy Duck,Oxyura jamaicensis
Red-legged Partridge,Alectoris rufa
Common Quail,Coturnix coturnix
Ring-necked Pheasant,Phasianus colchicus
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Common Loon,Gavia immer
Little Grebe,Tachybaptus ruficollis
Pied-billed Grebe,Podilymbus podiceps
Horned Grebe,Podiceps auritus
Great Crested Grebe,Podiceps cristatus
Eared Grebe,Podiceps nigricollis
Greater Flamingo,Phoenicopterus roseus
Black-browed Albatross,Thalassarche melanophris
Northern Fulmar,Fulmarus glacialis
Herald Petrel,Pterodroma arminjoniana
Fea's Petrel,Pterodroma feae
Bermuda Petrel,Pterodroma cahow
Black-capped Petrel,Pterodroma hasitata
Bulwer's Petrel,Bulweria bulwerii
Cory's Shearwater,Calonectris diomedea
Cape Verde Shearwater,Calonectris edwardsii
Great Shearwater,Puffinus gravis
Sooty Shearwater,Puffinus griseus
Manx Shearwater,Puffinus puffinus
Balearic Shearwater,Puffinus mauretanicus
Barolo Shearwater,Puffinus baroli
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
European Storm-Petrel,Hydrobates pelagicus
Leach's Storm-Petrel,Oceanodroma leucorhoa
Band-rumped Storm-Petrel,Oceanodroma castro
Monteiro's Storm-Petrel,Oceanodroma monteiroi
White-tailed Tropicbird,Phaethon lepturus
Red-billed Tropicbird,Phaethon aethereus
Black Stork,Ciconia nigra
White Stork,Ciconia ciconia
Magnificent Frigatebird,Fregata magnificens
Masked Booby,Sula dactylatra
Brown Booby,Sula leucogaster
Northern Gannet,Morus bassanus
Double-crested Cormorant,Phalacrocorax auritus
Great Cormorant,Phalacrocorax carbo
