(internal) id,(source) id,pubmed id,consensus,jjap,jgmmanzano
1242157,19416793,19416793,o,1,o
1242158,6668953,6668953,o,1,o
1242159,7652089,7652089,o,1,o
1242160,23355981,23355981,o,1,o
1242161,23253062,23253062,o,1,o
1242162,21540159,21540159,o,1,o
1242163,21708473,21708473,o,1,o
1242164,21327372,21327372,o,1,o
1242165,11648952,11648952,o,1,o
1242166,18438980,18438980,o,1,o
1242167,21641242,21641242,o,1,o
1242168,23073546,23073546,o,1,o
1242169,19175225,19175225,o,1,o
1242170,23037665,23037665,o,1,o
1242171,11883985,11883985,o,1,o
1242172,17326374,17326374,o,1,o
1242173,21459620,21459620,o,o,1
1242174,6521769,6521769,o,o,1
1242175,23495487,23495487,o,o,1
1242176,7244281,7244281,o,o,1
1242177,22784682,22784682,o,o,1
citations that are not yet labeled by anyone
