standard_name,scientific_name
Ostrich,Struthio camelus
Fulvous Whistling-Duck,Dendrocygna bicolor
Lesser Whistling-Duck,Dendrocygna javanica
Black Swan,Cygnus atratus
Mute Swan,Cygnus olor
Tundra Swan,Cygnus columbianus
Whooper Swan,Cygnus cygnus
Taiga Bean-Goose,Anser fabalis
Tundra Bean-Goose,Anser serrirostris
Pink-footed Goose,Anser brachyrhynchus
Greater White-fronted Goose,Anser albifrons
Lesser White-fronted Goose,Anser erythropus
Graylag Goose,Anser anser
Bar-headed Goose,Anser indicus
Snow Goose,Chen caerulescens
Ross's Goose,Chen rossii
Canada Goose,Branta canadensis
Cackling Goose,Branta hutchinsii
Barnacle Goose,Branta leucopsis
Brant,Branta bernicla
Red-breasted Goose,Branta ruficollis
Egyptian Goose,Alopochen aegyptiaca
Ruddy Shelduck,Tadorna ferruginea
Common Shelduck,Tadorna tadorna
Spur-winged Goose,Plectropterus gambensis
Comb Duck,Sarkidiornis melanotos
Cotton Pygmy-Goose,Nettapus coromandelianus
Wood Duck,Aix sponsa
Mandarin Duck,Aix galericulata
Eurasian Wigeon,Anas penelope
American Wigeon,Anas americana
Falcated Duck,Anas falcata
Gadwall,Anas strepera
Baikal Teal,Anas formosa
Green-winged Teal (Eurasian),Anas crecca crecca/nimia
Green-winged Teal,Anas crecca carolinensis
Cape Teal,Anas capensis
Mallard,Anas platyrhynchos
American Black Duck,Anas rubripes
Northern Pintail,Anas acuta
Garganey,Anas querquedula
Blue-winged Teal,Anas discors
Northern Shoveler,Anas clypeata
Red-billed Duck,Anas erythrorhyncha
Marbled Teal,Marmaronetta angustirostris
Red-crested Pochard,Netta rufina
Southern Pochard,Netta erythrophthalma
Canvasback,Aythya valisineria
Common Pochard,Aythya ferina
Redhead,Aythya americana
Ring-necked Duck,Aythya collaris
Ferruginous Duck,Aythya nyroca
Tufted Duck,Aythya fuligula
Greater Scaup,Aythya marila
Lesser Scaup,Aythya affinis
Common Eider,Somateria mollissima
King Eider,Somateria spectabilis
Spectacled Eider,Somateria fischeri
Steller's Eider,Polysticta stelleri
Harlequin Duck,Histrionicus histrionicus
Long-tailed Duck,Clangula hyemalis
Common Scoter,Melanitta nigra
Black Scoter,Melanitta americana
Surf Scoter,Melanitta perspicillata
White-winged Scoter,Melanitta fusca
White-winged Scoter (North American),Melanitta fusca deglandi
Bufflehead,Bucephala albeola
Barrow's Goldeneye,Bucephala islandica
Common Goldeneye,Bucephala clangula
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Red-breasted Merganser,Mergus serrator
Common Merganser,Mergus merganser
Ruddy Duck,Oxyura jamaicensis
White-headed Duck,Oxyura leucocephala
Hazel Grouse,Bonasa bonasia
Willow Ptarmigan,Lagopus lagopus
Rock Ptarmigan,Lagopus muta
Black Grouse,Tetrao tetrix
Caucasian Grouse,Tetrao mlokosiewiczi
Eurasian Capercaillie,Tetrao urogallus
California Quail,Callipepla californica
Northern Bobwhite,Colinus virginianus
Caucasian Snowcock,Tetraogallus caucasicus
Caspian Snowcock,Tetraogallus caspius
Chukar,Alectoris chukar
Rock Partridge,Alectoris graeca
Red-legged Partridge,Alectoris rufa
Barbary Partridge,Alectoris barbara
See-see Partridge,Ammoperdix griseogularis
Sand Partridge,Ammoperdix heyi
Black Francolin,Francolinus francolinus
