# Metabolic reconstruction Vs. Phenomic activity
# reactions = number of distinct reaction IDs
# meanAV = mean AV
# (-1, no activity available)
			Rm1021		del		add	
pathway	name	category	reactions	meanAV	reactions	meanAV	reactions	meanAV
path:map00350	Tyrosine metabolism	osmolytes_and_ph	5	-1	0	-1	0	-1
path:map00350	Tyrosine metabolism	carbon	5	3.14285714286	0	3.14285714286	0	3.14285714286
path:map01230	Biosynthesis of amino acids	osmolytes_and_ph	3	1.5	1	1.5	0	1.5
path:map01230	Biosynthesis of amino acids	carbon	3	3.66666666667	1	3.04166666667	0	3.66666666667
path:map00650	Butanoate metabolism	osmolytes_and_ph	3	-1	0	-1	0	-1
path:map00650	Butanoate metabolism	carbon	3	4.89285714286	0	4.89285714286	0	4.89285714286
path:map00250	Alanine, aspartate and glutamate metabolism	osmolytes_and_ph	3	-1	0	-1	0	-1
path:map00250	Alanine, aspartate and glutamate metabolism	carbon	3	4.95	0	4.95	0	4.95
path:map00770	Pantothenate and CoA biosynthesis	osmolytes_and_ph	2	-1	0	-1	0	-1
path:map00770	Pantothenate and CoA biosynthesis	carbon	2	5.25	0	5.25	0	5.25
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	osmolytes_and_ph	2	-1	0	-1	0	-1
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	carbon	2	-1	0	-1	0	-1
path:map00240	Pyrimidine metabolism	osmolytes_and_ph	2	1.16666666667	0	1.16666666667	0	1.16666666667
path:map00240	Pyrimidine metabolism	carbon	2	5.0	0	5.0	0	5.0
path:map00230	Purine metabolism	osmolytes_and_ph	2	1.16666666667	0	1.16666666667	0	1.16666666667
path:map00230	Purine metabolism	carbon	2	2.9	0	2.9	0	2.9
path:map00053	Ascorbate and aldarate metabolism	osmolytes_and_ph	2	-1	0	-1	0	-1
path:map00053	Ascorbate and aldarate metabolism	carbon	2	2.375	0	1.875	0	1.875
path:map00340	Histidine metabolism	osmolytes_and_ph	1	-1	1	-1	0	-1
path:map00340	Histidine metabolism	carbon	1	5.5	1	5.5	0	5.5
path:map00040	Pentose and glucuronate interconversions	osmolytes_and_ph	1	-1	0	-1	0	-1
path:map00040	Pentose and glucuronate interconversions	carbon	1	3.35	0	2.95	0	2.95
path:map00380	Tryptophan metabolism	osmolytes_and_ph	0	-1	0	-1	2	-1
path:map00380	Tryptophan metabolism	carbon	0	-1	0	-1	2	-1
path:map00360	Phenylalanine metabolism	osmolytes_and_ph	0	-1	0	-1	1	-1
path:map00360	Phenylalanine metabolism	carbon	0	3.41666666667	0	3.41666666667	1	3.41666666667
path:map00940	Phenylpropanoid biosynthesis	osmolytes_and_ph	0	-1	0	-1	0	-1
path:map00940	Phenylpropanoid biosynthesis	carbon	0	-1	0	-1	0	-1
