# Combined matrix for the del mutant (WT Rm1021)
# Each cell contains the difference on the AV  between the mutant and the wild-type
#  Compounds are sorted by diffAV,  pathways by genomic content (numer of distinct mutated reaction IDs)
 	path:map00340 Histidine metabolism	path:map01230 Biosynthesis of amino acids
carbon cpd:C00148 L-Proline; 2-Pyrrolidinecarboxylic acid	nan	7.5
carbon cpd:C00188 L-Threonine; 2-Amino-3-hydroxybutyric acid	nan	0.0
carbon cpd:C00158 Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid	nan	0.0
carbon cpd:C00152 L-Asparagine; 2-Aminosuccinamic acid	nan	0.0
carbon cpd:C00022 Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	nan	0.0
carbon cpd:C00064 L-Glutamine; L-2-Aminoglutaramic acid	nan	0.0
carbon cpd:C00109 2-Oxobutanoate; 2-Ketobutyric acid; 2-Oxobutyric acid; 2-Oxobutyrate; 2-Oxobutanoic acid; alpha-Ketobutyric acid; alpha-Ketobutyrate	nan	0.0
carbon cpd:C00041 L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine	nan	0.0
carbon cpd:C00026 2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	0.0	0.0
carbon cpd:C00025 L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	0.0	0.0
carbon cpd:C00049 L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp	0.0	0.0
carbon cpd:C00065 L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	nan	0.0
osmolytes_and_ph cpd:C00148 L-Proline; 2-Pyrrolidinecarboxylic acid	nan	0.0
