# Metabolic network length (number of exclusive reactions w/ respect to the wild-type)
network	name	overall	Rm1021	del	add
All		7341	11	1	3
path:map00040	Pentose and glucuronate interconversions	62	1	0	0
path:map00053	Ascorbate and aldarate metabolism	49	1	0	0
path:map00770	Pantothenate and CoA biosynthesis	27	1	0	0
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	32	1	0	0
path:map01230	Biosynthesis of amino acids	136	2	1	0
path:map00350	Tyrosine metabolism	83	3	0	0
path:map00230	Purine metabolism	126	2	0	0
path:map00240	Pyrimidine metabolism	87	2	0	0
path:map00250	Alanine, aspartate and glutamate metabolism	31	2	0	0
path:map00650	Butanoate metabolism	48	2	0	0
path:map00340	Histidine metabolism	47	1	1	0
path:map00360	Phenylalanine metabolism	76	0	0	1
path:map00380	Tryptophan metabolism	87	0	0	1
