# Metabolic network length (number of distinct reaction IDs)
network	name	overall	conserved	variable
All		7473	11	0
path:map00340	Histidine metabolism	48	1	0
path:map01230	Biosynthesis of amino acids	144	2	0
path:map00770	Pantothenate and CoA biosynthesis	27	1	0
path:map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	36	1	0
path:map00350	Tyrosine metabolism	83	2	0
path:map00230	Purine metabolism	126	2	0
path:map00240	Pyrimidine metabolism	87	2	0
path:map00040	Pentose and glucuronate interconversions	64	1	0
path:map00250	Alanine, aspartate and glutamate metabolism	31	1	0
path:map00650	Butanoate metabolism	57	1	0
path:map00053	Ascorbate and aldarate metabolism	49	1	0
